0.580,0.610,0.470,0.130,0.500,0.000,0.480,0.220,0
0.430,0.670,0.480,0.270,0.500,0.000,0.530,0.220,0
0.640,0.620,0.490,0.150,0.500,0.000,0.530,0.220,0
0.420,0.440,0.480,0.540,0.500,0.000,0.480,0.220,0
0.500,0.540,0.480,0.650,0.500,0.000,0.530,0.220,0
0.550,0.500,0.660,0.360,0.500,0.000,0.490,0.220,0
0.600,0.400,0.520,0.460,0.500,0.000,0.530,0.220,0
0.660,0.550,0.450,0.190,0.500,0.000,0.460,0.220,0
0.510,0.510,0.520,0.510,0.500,0.000,0.540,0.220,0
0.630,0.670,0.570,0.240,0.500,0.000,0.490,0.220,0
0.510,0.510,0.430,0.870,0.500,0.000,0.520,0.220,0
0.590,0.530,0.430,0.440,0.500,0.000,0.500,0.220,0
0.570,0.530,0.530,0.340,0.500,0.000,0.530,0.220,0
0.450,0.580,0.480,0.670,0.500,0.000,0.520,0.220,0
0.430,0.350,0.520,0.520,0.500,0.000,0.540,0.220,0
0.600,0.500,0.440,0.610,0.500,0.000,0.470,0.220,0
0.450,0.550,0.540,0.660,0.500,0.000,0.470,0.220,0
0.460,0.490,0.580,0.230,0.500,0.000,0.440,0.220,0
0.490,0.420,0.560,0.550,0.500,0.000,0.420,0.250,0
0.630,0.530,0.540,0.400,0.500,0.000,0.500,0.220,0
0.500,0.540,0.530,0.540,0.500,0.000,0.510,0.270,0
0.480,0.450,0.550,0.500,0.500,0.000,0.530,0.220,0
0.500,0.580,0.460,0.460,0.500,0.000,0.460,0.220,0
0.510,0.540,0.600,0.570,0.500,0.000,0.580,0.220,0
0.540,0.520,0.630,0.370,0.500,0.000,0.460,0.220,0
0.670,0.620,0.400,0.430,0.500,0.830,0.500,0.220,0
0.460,0.380,0.470,0.220,0.500,0.000,0.520,0.270,0
0.610,0.720,0.390,0.330,0.500,0.000,0.580,0.220,0
0.780,0.750,0.400,0.280,0.500,0.000,0.530,0.220,0
0.450,0.450,0.500,0.600,0.500,0.000,0.490,0.220,0
0.590,0.670,0.560,0.410,0.500,0.000,0.470,0.220,0
0.470,0.470,0.570,0.480,0.500,0.000,0.480,0.220,0
0.350,0.520,0.480,0.220,0.500,0.000,0.260,0.220,0
0.470,0.410,0.660,0.260,0.500,0.000,0.530,0.220,0
0.640,0.620,0.290,0.280,0.500,0.000,0.510,0.220,0
0.550,0.530,0.550,0.460,0.500,0.000,0.520,0.220,0
0.670,0.620,0.540,0.430,0.500,0.000,0.530,0.220,0
0.580,0.620,0.540,0.170,0.500,0.000,0.480,0.220,0
0.460,0.710,0.480,0.530,0.500,0.000,0.530,0.220,0
0.710,0.590,0.480,0.430,0.500,0.000,0.590,0.220,0
0.380,0.680,0.440,0.450,0.500,0.000,0.530,0.220,0
0.610,0.720,0.310,0.330,0.500,0.000,0.560,0.220,0
0.520,0.510,0.510,0.540,0.500,0.000,0.550,0.270,0
0.630,0.560,0.450,0.580,0.500,0.000,0.510,0.220,0
0.580,0.580,0.580,0.490,0.500,0.000,0.490,0.260,0
0.720,0.620,0.340,0.290,0.500,0.000,0.560,0.280,0
0.720,0.610,0.370,0.300,0.500,0.000,0.570,0.220,0
0.460,0.430,0.380,0.330,0.500,0.000,0.480,0.280,0
0.570,0.570,0.440,0.370,0.500,0.000,0.520,0.250,0
0.490,0.460,0.450,0.450,0.500,0.000,0.520,0.220,0
0.420,0.580,0.410,0.650,0.500,0.000,0.460,0.260,0
0.590,0.610,0.340,0.220,0.500,0.000,0.510,0.220,0
0.520,0.770,0.380,0.340,0.500,0.000,0.510,0.220,0
0.500,0.520,0.600,0.510,0.500,0.000,0.480,0.220,0
0.490,0.600,0.430,0.560,0.500,0.000,0.360,0.220,0
0.500,0.410,0.440,0.500,0.500,0.000,0.420,0.220,0
0.500,0.400,0.560,0.700,0.500,0.000,0.500,0.220,0
0.370,0.580,0.440,0.510,0.500,0.000,0.440,0.220,0
0.550,0.450,0.450,0.540,0.500,0.000,0.500,0.220,0
0.670,0.680,0.460,0.290,0.500,0.000,0.460,0.220,0
0.470,0.460,0.590,0.490,0.500,0.000,0.560,0.220,0
0.530,0.440,0.510,0.330,0.500,0.000,0.520,0.220,0
0.460,0.540,0.710,0.150,0.500,0.000,0.590,0.220,0
0.400,0.560,0.480,0.140,0.500,0.000,0.470,0.220,0
